nse_symbol,yahoo_symbol,stock_name,industry
NSE:HDBFS-EQ,HDBFS.NS,HDB Financial Services Ltd.,Financial Services
NSE:HDFCAMC-EQ,HDFCAMC.NS,HDFC Asset Management Company Ltd.,Financial Services
NSE:HDFCBANK-EQ,HDFCBANK.NS,HDFC Bank Ltd.,Financial Services
NSE:HDFCLIFE-EQ,HDFCLIFE.NS,HDFC Life Insurance Company Ltd.,Financial Services
NSE:HFCL-EQ,HFCL.NS,HFCL Ltd.,Telecommunication
NSE:HAVELLS-EQ,HAVELLS.NS,Havells India Ltd.,Consumer Durables
NSE:HEROMOTOCO-EQ,HEROMOTOCO.NS,Hero MotoCorp Ltd.,Automobile and Auto Components
NSE:HEXT-EQ,HEXT.NS,Hexaware Technologies Ltd.,Information Technology
NSE:HSCL-EQ,HSCL.NS,Himadri Speciality Chemical Ltd.,Chemicals
NSE:HINDALCO-EQ,HINDALCO.NS,Hindalco Industries Ltd.,Metals & Mining
NSE:HAL-EQ,HAL.NS,Hindustan Aeronautics Ltd.,Capital Goods
NSE:HINDCOPPER-EQ,HINDCOPPER.NS,Hindustan Copper Ltd.,Metals & Mining
NSE:HINDPETRO-EQ,HINDPETRO.NS,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
NSE:HINDUNILVR-EQ,HINDUNILVR.NS,Hindustan Unilever Ltd.,Fast Moving Consumer Goods
NSE:HINDZINC-EQ,HINDZINC.NS,Hindustan Zinc Ltd.,Metals & Mining
NSE:POWERINDIA-EQ,POWERINDIA.NS,Hitachi Energy India Ltd.,Capital Goods
NSE:HOMEFIRST-EQ,HOMEFIRST.NS,Home First Finance Company India Ltd.,Financial Services
NSE:HONASA-EQ,HONASA.NS,Honasa Consumer Ltd.,Fast Moving Consumer Goods
NSE:HONAUT-EQ,HONAUT.NS,Honeywell Automation India Ltd.,Capital Goods
NSE:HUDCO-EQ,HUDCO.NS,Housing & Urban Development Corporation Ltd.,Financial Services
NSE:HYUNDAI-EQ,HYUNDAI.NS,Hyundai Motor India Ltd.,Automobile and Auto Components
NSE:ICICIBANK-EQ,ICICIBANK.NS,ICICI Bank Ltd.,Financial Services
NSE:ICICIGI-EQ,ICICIGI.NS,ICICI Lombard General Insurance Company Ltd.,Financial Services
NSE:ICICIAMC-EQ,ICICIAMC.NS,ICICI Prudential Asset Management Company Ltd.,Financial Services
NSE:ICICIPRULI-EQ,ICICIPRULI.NS,ICICI Prudential Life Insurance Company Ltd.,Financial Services
NSE:IDBI-EQ,IDBI.NS,IDBI Bank Ltd.,Financial Services
NSE:IDFCFIRSTB-EQ,IDFCFIRSTB.NS,IDFC First Bank Ltd.,Financial Services
NSE:IFCI-EQ,IFCI.NS,IFCI Ltd.,Financial Services
NSE:IIFL-EQ,IIFL.NS,IIFL Finance Ltd.,Financial Services
NSE:IRB-EQ,IRB.NS,IRB Infrastructure Developers Ltd.,Construction
NSE:IRCON-EQ,IRCON.NS,IRCON International Ltd.,Construction
NSE:ITCHOTELS-EQ,ITCHOTELS.NS,ITC Hotels Ltd.,Consumer Services
NSE:ITC-EQ,ITC.NS,ITC Ltd.,Fast Moving Consumer Goods
NSE:ITI-EQ,ITI.NS,ITI Ltd.,Telecommunication
NSE:INDGN-EQ,INDGN.NS,Indegene Ltd.,Healthcare
NSE:INDIACEM-EQ,INDIACEM.NS,India Cements Ltd.,Construction Materials
NSE:INDIAMART-EQ,INDIAMART.NS,Indiamart Intermesh Ltd.,Consumer Services
NSE:INDIANB-EQ,INDIANB.NS,Indian Bank,Financial Services
NSE:IEX-EQ,IEX.NS,Indian Energy Exchange Ltd.,Financial Services
NSE:INDHOTEL-EQ,INDHOTEL.NS,Indian Hotels Co. Ltd.,Consumer Services
NSE:IOC-EQ,IOC.NS,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels
NSE:IOB-EQ,IOB.NS,Indian Overseas Bank,Financial Services
NSE:IRCTC-EQ,IRCTC.NS,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services
NSE:IRFC-EQ,IRFC.NS,Indian Railway Finance Corporation Ltd.,Financial Services
NSE:IREDA-EQ,IREDA.NS,Indian Renewable Energy Development Agency Ltd.,Financial Services
NSE:IGL-EQ,IGL.NS,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels
NSE:INDUSTOWER-EQ,INDUSTOWER.NS,Indus Towers Ltd.,Telecommunication
NSE:INDUSINDBK-EQ,INDUSINDBK.NS,IndusInd Bank Ltd.,Financial Services
NSE:NAUKRI-EQ,NAUKRI.NS,Info Edge (India) Ltd.,Consumer Services
NSE:INFY-EQ,INFY.NS,Infosys Ltd.,Information Technology
NSE:INOXWIND-EQ,INOXWIND.NS,Inox Wind Ltd.,Capital Goods
NSE:INTELLECT-EQ,INTELLECT.NS,Intellect Design Arena Ltd.,Information Technology
NSE:INDIGO-EQ,INDIGO.NS,InterGlobe Aviation Ltd.,Services
NSE:IGIL-EQ,IGIL.NS,International Gemological Institute Ltd.,Services
NSE:IKS-EQ,IKS.NS,Inventurus Knowledge Solutions Ltd.,Information Technology
NSE:IPCALAB-EQ,IPCALAB.NS,Ipca Laboratories Ltd.,Healthcare
NSE:JBCHEPHARM-EQ,JBCHEPHARM.NS,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare
NSE:JKCEMENT-EQ,JKCEMENT.NS,J.K. Cement Ltd.,Construction Materials
NSE:JBMA-EQ,JBMA.NS,JBM Auto Ltd.,Automobile and Auto Components
NSE:JKTYRE-EQ,JKTYRE.NS,JK Tyre & Industries Ltd.,Automobile and Auto Components
NSE:JMFINANCIL-EQ,JMFINANCIL.NS,JM Financial Ltd.,Financial Services
NSE:JSWCEMENT-EQ,JSWCEMENT.NS,JSW Cement Ltd.,Construction Materials
NSE:JSWDULUX-EQ,JSWDULUX.NS,JSW Dulux Ltd.,Consumer Durables
NSE:JSWENERGY-EQ,JSWENERGY.NS,JSW Energy Ltd.,Power
NSE:JSWINFRA-EQ,JSWINFRA.NS,JSW Infrastructure Ltd.,Services
NSE:JSWSTEEL-EQ,JSWSTEEL.NS,JSW Steel Ltd.,Metals & Mining
NSE:JAINREC-EQ,JAINREC.NS,Jain Resource Recycling Ltd.,Metals & Mining
NSE:JPPOWER-EQ,JPPOWER.NS,Jaiprakash Power Ventures Ltd.,Power
NSE:J&KBANK-EQ,J&KBANK.NS,Jammu & Kashmir Bank Ltd.,Financial Services
NSE:JINDALSAW-EQ,JINDALSAW.NS,Jindal Saw Ltd.,Capital Goods
NSE:JSL-EQ,JSL.NS,Jindal Stainless Ltd.,Metals & Mining
NSE:JINDALSTEL-EQ,JINDALSTEL.NS,Jindal Steel Ltd.,Metals & Mining
NSE:JIOFIN-EQ,JIOFIN.NS,Jio Financial Services Ltd.,Financial Services
NSE:JUBLFOOD-EQ,JUBLFOOD.NS,Jubilant Foodworks Ltd.,Consumer Services
NSE:JUBLINGREA-EQ,JUBLINGREA.NS,Jubilant Ingrevia Ltd.,Chemicals
NSE:JUBLPHARMA-EQ,JUBLPHARMA.NS,Jubilant Pharmova Ltd.,Healthcare
NSE:JWL-EQ,JWL.NS,Jupiter Wagons Ltd.,Capital Goods
NSE:JYOTICNC-EQ,JYOTICNC.NS,Jyoti CNC Automation Ltd.,Capital Goods
NSE:KPRMILL-EQ,KPRMILL.NS,K.P.R. Mill Ltd.,Textiles
NSE:KEI-EQ,KEI.NS,KEI Industries Ltd.,Capital Goods
NSE:KPITTECH-EQ,KPITTECH.NS,KPIT Technologies Ltd.,Information Technology
NSE:KAJARIACER-EQ,KAJARIACER.NS,Kajaria Ceramics Ltd.,Consumer Durables
NSE:KPIL-EQ,KPIL.NS,Kalpataru Projects International Ltd.,Construction
NSE:KALYANKJIL-EQ,KALYANKJIL.NS,Kalyan Jewellers India Ltd.,Consumer Durables
NSE:KARURVYSYA-EQ,KARURVYSYA.NS,Karur Vysya Bank Ltd.,Financial Services
NSE:KAYNES-EQ,KAYNES.NS,Kaynes Technology India Ltd.,Capital Goods
NSE:KEC-EQ,KEC.NS,Kec International Ltd.,Construction
NSE:KFINTECH-EQ,KFINTECH.NS,Kfin Technologies Ltd.,Financial Services
NSE:KIRLOSENG-EQ,KIRLOSENG.NS,Kirloskar Oil Eng Ltd.,Capital Goods
NSE:KOTAKBANK-EQ,KOTAKBANK.NS,Kotak Mahindra Bank Ltd.,Financial Services
NSE:KIMS-EQ,KIMS.NS,Krishna Institute of Medical Sciences Ltd.,Healthcare
NSE:LTF-EQ,LTF.NS,L&T Finance Ltd.,Financial Services
NSE:LTTS-EQ,LTTS.NS,L&T Technology Services Ltd.,Information Technology
NSE:LGEINDIA-EQ,LGEINDIA.NS,LG Electronics India Ltd.,Consumer Durables
NSE:LICHSGFIN-EQ,LICHSGFIN.NS,LIC Housing Finance Ltd.,Financial Services
NSE:LTFOODS-EQ,LTFOODS.NS,LT Foods Ltd.,Fast Moving Consumer Goods
NSE:LTM-EQ,LTM.NS,LTM Ltd.,Information Technology
NSE:LT-EQ,LT.NS,Larsen & Toubro Ltd.,Construction
NSE:LATENTVIEW-EQ,LATENTVIEW.NS,Latent View Analytics Ltd.,Information Technology
NSE:LAURUSLABS-EQ,LAURUSLABS.NS,Laurus Labs Ltd.,Healthcare
NSE:THELEELA-EQ,THELEELA.NS,Leela Palaces Hotels & Resorts Ltd.,Consumer Services
NSE:LEMONTREE-EQ,LEMONTREE.NS,Lemon Tree Hotels Ltd.,Consumer Services
NSE:LENSKART-EQ,LENSKART.NS,Lenskart Solutions Ltd.,Consumer Services
NSE:LICI-EQ,LICI.NS,Life Insurance Corporation of India,Financial Services
NSE:LINDEINDIA-EQ,LINDEINDIA.NS,Linde India Ltd.,Chemicals
NSE:LLOYDSME-EQ,LLOYDSME.NS,Lloyds Metals And Energy Ltd.,Metals & Mining
NSE:LODHA-EQ,LODHA.NS,Lodha Developers Ltd.,Realty
NSE:LUPIN-EQ,LUPIN.NS,Lupin Ltd.,Healthcare
NSE:MMTC-EQ,MMTC.NS,MMTC Ltd.,Services
NSE:MRF-EQ,MRF.NS,MRF Ltd.,Automobile and Auto Components
NSE:MGL-EQ,MGL.NS,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels
NSE:M&MFIN-EQ,M&MFIN.NS,Mahindra & Mahindra Financial Services Ltd.,Financial Services
NSE:M&M-EQ,M&M.NS,Mahindra & Mahindra Ltd.,Automobile and Auto Components
NSE:MANAPPURAM-EQ,MANAPPURAM.NS,Manappuram Finance Ltd.,Financial Services
NSE:MRPL-EQ,MRPL.NS,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels
NSE:MANKIND-EQ,MANKIND.NS,Mankind Pharma Ltd.,Healthcare
NSE:MARICO-EQ,MARICO.NS,Marico Ltd.,Fast Moving Consumer Goods
NSE:MARUTI-EQ,MARUTI.NS,Maruti Suzuki India Ltd.,Automobile and Auto Components
NSE:MFSL-EQ,MFSL.NS,Max Financial Services Ltd.,Financial Services
NSE:MAXHEALTH-EQ,MAXHEALTH.NS,Max Healthcare Institute Ltd.,Healthcare
NSE:MAZDOCK-EQ,MAZDOCK.NS,Mazagoan Dock Shipbuilders Ltd.,Capital Goods
NSE:MEESHO-EQ,MEESHO.NS,Meesho Ltd.,Consumer Services
NSE:MINDACORP-EQ,MINDACORP.NS,Minda Corporation Ltd.,Automobile and Auto Components
NSE:MSUMI-EQ,MSUMI.NS,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components
NSE:MOTILALOFS-EQ,MOTILALOFS.NS,Motilal Oswal Financial Services Ltd.,Financial Services
NSE:MPHASIS-EQ,MPHASIS.NS,MphasiS Ltd.,Information Technology
NSE:MCX-EQ,MCX.NS,Multi Commodity Exchange of India Ltd.,Financial Services
NSE:MUTHOOTFIN-EQ,MUTHOOTFIN.NS,Muthoot Finance Ltd.,Financial Services
NSE:NATCOPHARM-EQ,NATCOPHARM.NS,NATCO Pharma Ltd.,Healthcare
NSE:NBCC-EQ,NBCC.NS,NBCC (India) Ltd.,Construction
NSE:NCC-EQ,NCC.NS,NCC Ltd.,Construction
NSE:NHPC-EQ,NHPC.NS,NHPC Ltd.,Power
NSE:NLCINDIA-EQ,NLCINDIA.NS,NLC India Ltd.,Power
NSE:NMDC-EQ,NMDC.NS,NMDC Ltd.,Metals & Mining
NSE:NSLNISP-EQ,NSLNISP.NS,NMDC Steel Ltd.,Metals & Mining
NSE:NTPCGREEN-EQ,NTPCGREEN.NS,NTPC Green Energy Ltd.,Power
NSE:NTPC-EQ,NTPC.NS,NTPC Ltd.,Power
NSE:NH-EQ,NH.NS,Narayana Hrudayalaya Ltd.,Healthcare
NSE:NATIONALUM-EQ,NATIONALUM.NS,National Aluminium Co. Ltd.,Metals & Mining
NSE:NAVA-EQ,NAVA.NS,Nava Ltd.,Power
NSE:NAVINFLUOR-EQ,NAVINFLUOR.NS,Navin Fluorine International Ltd.,Chemicals
NSE:NESTLEIND-EQ,NESTLEIND.NS,Nestle India Ltd.,Fast Moving Consumer Goods
NSE:NETWEB-EQ,NETWEB.NS,Netweb Technologies India Ltd.,Information Technology
NSE:NEULANDLAB-EQ,NEULANDLAB.NS,Neuland Laboratories Ltd.,Healthcare
NSE:NEWGEN-EQ,NEWGEN.NS,Newgen Software Technologies Ltd.,Information Technology
NSE:NAM-INDIA-EQ,NAM-INDIA.NS,Nippon Life India Asset Management Ltd.,Financial Services
NSE:NIVABUPA-EQ,NIVABUPA.NS,Niva Bupa Health Insurance Company Ltd.,Financial Services
NSE:NUVAMA-EQ,NUVAMA.NS,Nuvama Wealth Management Ltd.,Financial Services
NSE:NUVOCO-EQ,NUVOCO.NS,Nuvoco Vistas Corporation Ltd.,Construction Materials
NSE:OBEROIRLTY-EQ,OBEROIRLTY.NS,Oberoi Realty Ltd.,Realty
NSE:ONGC-EQ,ONGC.NS,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels
NSE:OIL-EQ,OIL.NS,Oil India Ltd.,Oil Gas & Consumable Fuels
NSE:OLAELEC-EQ,OLAELEC.NS,Ola Electric Mobility Ltd.,Automobile and Auto Components
NSE:OLECTRA-EQ,OLECTRA.NS,Olectra Greentech Ltd.,Automobile and Auto Components
NSE:PAYTM-EQ,PAYTM.NS,One 97 Communications Ltd.,Financial Services
NSE:ONESOURCE-EQ,ONESOURCE.NS,Onesource Specialty Pharma Ltd.,Healthcare
NSE:OFSS-EQ,OFSS.NS,Oracle Financial Services Software Ltd.,Information Technology
NSE:POLICYBZR-EQ,POLICYBZR.NS,PB Fintech Ltd.,Financial Services
NSE:PCBL-EQ,PCBL.NS,PCBL Chemical Ltd.,Chemicals
NSE:PGEL-EQ,PGEL.NS,PG Electroplast Ltd.,Consumer Durables
NSE:PIIND-EQ,PIIND.NS,PI Industries Ltd.,Chemicals
NSE:PNBHOUSING-EQ,PNBHOUSING.NS,PNB Housing Finance Ltd.,Financial Services
NSE:PTCIL-EQ,PTCIL.NS,PTC Industries Ltd.,Capital Goods
NSE:PVRINOX-EQ,PVRINOX.NS,PVR INOX Ltd.,Media Entertainment & Publication
NSE:PAGEIND-EQ,PAGEIND.NS,Page Industries Ltd.,Textiles
NSE:PARADEEP-EQ,PARADEEP.NS,Paradeep Phosphates Ltd.,Chemicals
NSE:PATANJALI-EQ,PATANJALI.NS,Patanjali Foods Ltd.,Fast Moving Consumer Goods
NSE:PERSISTENT-EQ,PERSISTENT.NS,Persistent Systems Ltd.,Information Technology
NSE:PETRONET-EQ,PETRONET.NS,Petronet LNG Ltd.,Oil Gas & Consumable Fuels
NSE:PFIZER-EQ,PFIZER.NS,Pfizer Ltd.,Healthcare
NSE:PHOENIXLTD-EQ,PHOENIXLTD.NS,Phoenix Mills Ltd.,Realty
NSE:PWL-EQ,PWL.NS,Physicswallah Ltd.,Consumer Services
NSE:PIDILITIND-EQ,PIDILITIND.NS,Pidilite Industries Ltd.,Chemicals
NSE:PINELABS-EQ,PINELABS.NS,Pine Labs Ltd.,Financial Services
NSE:PIRAMALFIN-EQ,PIRAMALFIN.NS,Piramal Finance Ltd.,Financial Services
NSE:PPLPHARMA-EQ,PPLPHARMA.NS,Piramal Pharma Ltd.,Healthcare
NSE:POLYMED-EQ,POLYMED.NS,Poly Medicure Ltd.,Healthcare
NSE:POLYCAB-EQ,POLYCAB.NS,Polycab India Ltd.,Capital Goods
NSE:POONAWALLA-EQ,POONAWALLA.NS,Poonawalla Fincorp Ltd.,Financial Services
NSE:PFC-EQ,PFC.NS,Power Finance Corporation Ltd.,Financial Services
NSE:POWERGRID-EQ,POWERGRID.NS,Power Grid Corporation of India Ltd.,Power
NSE:PREMIERENE-EQ,PREMIERENE.NS,Premier Energies Ltd.,Capital Goods
NSE:PRESTIGE-EQ,PRESTIGE.NS,Prestige Estates Projects Ltd.,Realty
NSE:PNB-EQ,PNB.NS,Punjab National Bank,Financial Services
NSE:RRKABEL-EQ,RRKABEL.NS,R R Kabel Ltd.,Capital Goods
NSE:RBLBANK-EQ,RBLBANK.NS,RBL Bank Ltd.,Financial Services
NSE:RECLTD-EQ,RECLTD.NS,REC Ltd.,Financial Services
NSE:RHIM-EQ,RHIM.NS,RHI MAGNESITA INDIA LTD.,Capital Goods
NSE:RITES-EQ,RITES.NS,RITES Ltd.,Construction
NSE:RADICO-EQ,RADICO.NS,Radico Khaitan Ltd,Fast Moving Consumer Goods
NSE:RVNL-EQ,RVNL.NS,Rail Vikas Nigam Ltd.,Construction
NSE:RAILTEL-EQ,RAILTEL.NS,Railtel Corporation Of India Ltd.,Telecommunication
NSE:RAINBOW-EQ,RAINBOW.NS,Rainbow Childrens Medicare Ltd.,Healthcare
NSE:RKFORGE-EQ,RKFORGE.NS,Ramkrishna Forgings Ltd.,Automobile and Auto Components
NSE:REDINGTON-EQ,REDINGTON.NS,Redington Ltd.,Services
NSE:RELIANCE-EQ,RELIANCE.NS,Reliance Industries Ltd.,Oil Gas & Consumable Fuels
NSE:RPOWER-EQ,RPOWER.NS,Reliance Power Ltd.,Power
NSE:SBFC-EQ,SBFC.NS,SBFC Finance Ltd.,Financial Services
NSE:SBICARD-EQ,SBICARD.NS,SBI Cards and Payment Services Ltd.,Financial Services
NSE:SBILIFE-EQ,SBILIFE.NS,SBI Life Insurance Company Ltd.,Financial Services
NSE:SJVN-EQ,SJVN.NS,SJVN Ltd.,Power
NSE:SRF-EQ,SRF.NS,SRF Ltd.,Chemicals
NSE:SAGILITY-EQ,SAGILITY.NS,Sagility Ltd.,Information Technology
NSE:SAILIFE-EQ,SAILIFE.NS,Sai Life Sciences Ltd.,Healthcare
NSE:SAMMAANCAP-EQ,SAMMAANCAP.NS,Sammaan Capital Ltd.,Financial Services
NSE:MOTHERSON-EQ,MOTHERSON.NS,Samvardhana Motherson International Ltd.,Automobile and Auto Components
NSE:SAPPHIRE-EQ,SAPPHIRE.NS,Sapphire Foods India Ltd.,Consumer Services
NSE:SARDAEN-EQ,SARDAEN.NS,Sarda Energy and Minerals Ltd.,Metals & Mining
NSE:SAREGAMA-EQ,SAREGAMA.NS,Saregama India Ltd,Media Entertainment & Publication
NSE:SCHAEFFLER-EQ,SCHAEFFLER.NS,Schaeffler India Ltd.,Automobile and Auto Components
NSE:SCHNEIDER-EQ,SCHNEIDER.NS,Schneider Electric Infrastructure Ltd.,Capital Goods
NSE:SCI-EQ,SCI.NS,Shipping Corporation of India Ltd.,Services
NSE:SHREECEM-EQ,SHREECEM.NS,Shree Cement Ltd.,Construction Materials
NSE:SHRIRAMFIN-EQ,SHRIRAMFIN.NS,Shriram Finance Ltd.,Financial Services
NSE:SHYAMMETL-EQ,SHYAMMETL.NS,Shyam Metalics and Energy Ltd.,Capital Goods
NSE:ENRIN-EQ,ENRIN.NS,Siemens Energy India Ltd.,Capital Goods
NSE:SIEMENS-EQ,SIEMENS.NS,Siemens Ltd.,Capital Goods
NSE:SIGNATURE-EQ,SIGNATURE.NS,Signatureglobal (India) Ltd.,Realty
NSE:SOBHA-EQ,SOBHA.NS,Sobha Ltd.,Realty
NSE:SOLARINDS-EQ,SOLARINDS.NS,Solar Industries India Ltd.,Chemicals
NSE:SONACOMS-EQ,SONACOMS.NS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components
NSE:SONATSOFTW-EQ,SONATSOFTW.NS,Sonata Software Ltd.,Information Technology
NSE:STARHEALTH-EQ,STARHEALTH.NS,Star Health and Allied Insurance Company Ltd.,Financial Services
NSE:SBIN-EQ,SBIN.NS,State Bank of India,Financial Services
NSE:SAIL-EQ,SAIL.NS,Steel Authority of India Ltd.,Metals & Mining
NSE:SUMICHEM-EQ,SUMICHEM.NS,Sumitomo Chemical India Ltd.,Chemicals
NSE:SUNPHARMA-EQ,SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,Healthcare
NSE:SUNTV-EQ,SUNTV.NS,Sun TV Network Ltd.,Media Entertainment & Publication
NSE:SUNDARMFIN-EQ,SUNDARMFIN.NS,Sundaram Finance Ltd.,Financial Services
NSE:SUPREMEIND-EQ,SUPREMEIND.NS,Supreme Industries Ltd.,Capital Goods
NSE:SPLPETRO-EQ,SPLPETRO.NS,Supreme Petrochem Ltd.,Chemicals
NSE:SUZLON-EQ,SUZLON.NS,Suzlon Energy Ltd.,Capital Goods
